P	Conc.	Hours	CFU1	CFU1	CFU1	Dilution	Cor.Mean
P18	4M	17:56:00	2	0	1	1,00E+01	1,00E+01
P19	0M	18:59:00	26	20	21	1,00E+06	2,23E+07
P19	0,25M	19:01:00					
P19	0,5M	18:59:00	22	15	10	1,00E+06	1,57E+07
P19	0,75M	19:01:00	9	11	6	1,00E+06	8,67E+06
P19	1M	18:59:00	12	19	15	1,00E+05	1,53E+06
P19	1,25M	18:59:00	6	9	7	1,00E+05	7,33E+05
P19	1,5M	18:59:00	36	31	35	1,00E+02	3,40E+03
P19	2M	18:59:00	12	15	15	1,00E+02	1,40E+03
P19	3M	18:59:00	20	31	26	1,00E+01	2,57E+02
P19	4M	18:59:00	1	0	1	1,00E+01	6,67E+00
P20	0M	19:59:00	29			1,00E+06	2,90E+07
P20	0,25M	20:02:00	45	45	47	1,00E+05	4,57E+06
P20	0,5M	19:59:00	11	16	16	1,00E+06	1,43E+07
P20	0,75M	20:02:00	7	12	9	1,00E+06	9,33E+06
P20	1M	19:59:00	16	18	21	1,00E+05	1,83E+06
P20	1,25M	19:59:00	86	81	80	1,00E+04	8,23E+05
P20	1,5M	19:59:00	29	34	27	1,00E+02	3,00E+03
P20	2M	19:59:00	18	16	15	1,00E+02	1,63E+03
P20	3M	19:59:00	14	16	16	1,00E+01	1,53E+02
P20	4M	19:59:00	0	1	1	1,00E+01	6,67E+00
P21	0M	20:59:00	33	25	20	1,00E+06	2,60E+07
P21	0,25M	20:59:00	13	6	7	1,00E+06	8,67E+06
P21	0,5M	20:59:00	23	18	18	1,00E+06	1,97E+07
P21	0,75M	20:59:00	8	10	4	1,00E+06	7,33E+06
P21	1M	20:59:00	28	22	25	1,00E+05	2,50E+06
P21	1,25M	20:59:00	11	17	14	1,00E+05	1,40E+06
P21	1,5M	20:59:00	2	4	4	1,00E+03	3,33E+03
P21	2M	20:59:00	12	17	10	1,00E+02	1,30E+03
P21	3M	20:59:00	13	20		1,00E+01	1,65E+02
P21	4M	20:59:00	0	1	0	1,00E+01	3,33E+00
P22	0M	21:57:00	23	24	23	1,00E+06	2,33E+07
P22	0,25M	22:00:00	6	7	6	1,00E+06	6,33E+06
P22	0,5M	21:57:00	22	21	20	1,00E+06	2,10E+07
P22	0,75M	22:00:00	7	11	7	1,00E+06	8,33E+06
P22	1M	21:57:00	27	35	28	1,00E+05	3,00E+06
P22	1,25M	21:57:00	15	8	11	1,00E+05	1,13E+06
P22	1,5M	21:57:00	3	4	3	1,00E+03	3,33E+03
P22	2M	21:57:00	11	13	6	1,00E+02	1,00E+03
P22	3M	21:57:00	14	14		1,00E+01	1,40E+02
P22	4M	21:57:00	1	0	0	1,00E+01	3,33E+00
P23	0M	22:58:00	19	20	22	1,00E+06	2,03E+07
P23	0,25M	23:00:00	6	8	11	1,00E+06	8,33E+06
P23	0,5M	22:58:00	20	18	17	1,00E+06	1,83E+07
P23	0,75M	23:00:00	9	9	10	1,00E+06	9,33E+06
P23	1M	22:58:00	36	36	32	1,00E+05	3,47E+06
P23	1,25M	22:58:00	15	12	14	1,00E+05	1,37E+06
P23	1,5M	22:58:00	31	29	29	1,00E+02	2,97E+03
P23	2M	22:58:00	10	10	15	1,00E+02	1,17E+03
P23	3M	22:58:00	5	12	12	1,00E+01	9,67E+01
P23	4M	22:58:00	0			1,00E+01	0,00E+00
P24	0M	23:57:00	19	23	23	1,00E+06	2,17E+07
P24	0,25M	23:59:00	6	12	17	1,00E+06	1,17E+07
P24	0,5M	23:57:00	19	27	25	1,00E+06	2,37E+07
P24	0,75M	23:59:00	10	10	12	1,00E+06	1,07E+07
P24	1M	23:57:00	36	30	25	1,00E+05	3,03E+06
P24	1,25M	23:57:00	11	14	13	1,00E+05	1,27E+06
P24	1,5M	23:57:00	23	22	23	1,00E+02	2,27E+03
P24	2M	23:57:00	7	8	9	1,00E+02	8,00E+02
P24	3M	23:57:00	7	2	3	1,00E+01	4,00E+01
P24	4M	23:57:00	0			1,00E+01	0,00E+00
