"Espécie" "Domínio" "Mínimo.opt" "Máximo.opt" "Classificação" "Sal.é.NaCl." "Unidade"
"127" "Bacillus aquimaris" "B" 0.34 0.86 "Moderate" "s" "m"
"128" "Alteromonas marina" "B" 0.34 0.86 "Moderate" "s" "m"
"129" "Oceanisphaera litoralis" "B" 0.17 0.51 "Moderate" "s" "m"
"131" "Thialkalivibrio nitratireducens" "B" 0.4 0.5 "Moderate" "s" "m"
"133" "Psychroflexus tropicus" "B" 1.28 1.71 "Moderate" "s" "m"
"135" "Halomonas organivorans" "B" 1.28 1.71 "Moderate" "s" "m"
"136" "Chromohalobacter sarecensis" "B" 1.37 1.37 "Moderate" "s" "m"
"137" "Halomonas ventosae" "B" 1.38 1.38 "Moderate" "s" "m"
"138" "Halomonas boliviensis" "B" 0.86 0.86 "Moderate" "s" "m"
"139" "Methanobacterium aarhusense" "B" 0.1 0.9 "Moderate" "s" "m"
"140" "Kordia algicida" "B" 0.51 0.51 "Moderate" "s" "m"
"141" "Marinibacillus campisalis" "B" 0.34 0.51 "Moderate" "s" "m"
"143" "Nocardiopsis salina" "B" 1.71 1.71 "Moderate" "s" "m"
"144" "Desulfovibrio bastinii" "B" 0.68 0.68 "Moderate" "s" "m"
"145" "Desulfovibrio gracilis" "B" 0.86 1.03 "Moderate" "s" "m"
"146" "Salipiger mucescens" "B" 1.54 1.71 "Moderate" "s" "m"
"147" "Novosphingobium pentaromativorans" "B" 0.43 0.43 "Moderate" "s" "m"
"148" "Paraglaciecola polaris" "B" 0.17 1.03 "Moderate" "s" "m"
"149" "Idiomarina fontislapidosi" "B" 0.51 0.86 "Moderate" "s" "m"
"150" "Idiomarina ramblicola" "B" 0.51 0.86 "Moderate" "s" "m"
"151" "Desulfovibrio alaskensis" "B" 0.43 0.43 "Moderate" "s" "m"
"152" "Serinicoccus marinus" "B" 0.34 0.51 "Moderate" "s" "m"
"153" "Halomonas koreensis" "B" 0.17 2.05 "Moderate" "s" "m"
"154" "Halomonas axialensis" "B" 0.64 0.64 "Moderate" "s" "m"
"155" "Halomonas hydrothermalis" "B" 0.64 1.13 "Moderate" "s" "m"
"156" "Tenuibacillus multivorans" "B" 0.86 1.37 "Moderate" "s" "m"
"157" "Salinimonas chungwhensis" "B" 0.34 0.86 "Moderate" "s" "m"
"158" "Pontibacillus chungwhensis" "B" 0.34 0.86 "Moderate" "s" "m"
"159" "Lentibacillus juripiscarius" "B" 1.71 1.71 "Moderate" "s" "m"
"160" "Psychrobacter cibarius" "B" 0.34 0.51 "Moderate" "s" "m"
"161" "Bacillus oshimensis" "B" 1.2 1.2 "Moderate" "s" "m"
"164" "Pontibacillus marinus" "B" 0.34 0.86 "Moderate" "s" "m"
"165" "Lentibacillus salarius" "B" 2.05 2.4 "Moderate" "s" "m"
"166" "Alteromonas hispanica" "B" 1.28 1.71 "Moderate" "s" "m"
"167" "Palleronia marisminoris" "B" 0.86 0.86 "Moderate" "s" "m"
"168" "Halobacillus dabanensis" "B" 1.71 1.71 "Moderate" "s" "m"
"169" "Halobacillus aidingensis" "B" 1.71 1.71 "Moderate" "s" "m"
"170" "Halomonas taeanensis" "B" 1.71 2.05 "Moderate" "s" "m"
"171" "Lentibacillus lacisalsi" "B" 2.05 2.57 "Moderate" "s" "m"
"172" "Thalassobacillus devorans" "B" 1.28 1.71 "Moderate" "s" "m"
"173" "Alkalibacillus haloalkaliphilus" "B" 0.86 1.71 "Moderate" "s" "m"
"174" "Alkalibacillus salilacus" "B" 1.71 2.05 "Moderate" "s" "m"
"175" "Methylohalobius crimeensis" "B" 1 1.5 "Moderate" "s" "m"
"177" "Bacillus taeanensis" "B" 0.34 0.86 "Moderate" "s" "m"
"179" "Marinobacter vinifirmus" "B" 0.86 1.03 "Moderate" "s" "m"
"180" "Thiomicrospira halophila" "B" 1.5 1.5 "Moderate" "s" "m"
"181" "Desulfohalobium utahense" "B" 1.37 1.71 "Moderate" "s" "m"
"182" "Nesterenkonia aethiopica" "B" 0.51 0.51 "Moderate" "s" "m"
"183" "Marinobacter algicola" "B" 0.51 1.03 "Moderate" "s" "m"
"184" "Gracilibacillus orientalis" "B" 1.71 1.71 "Moderate" "s" "m"
"185" "Bacillus salarius" "B" 1.71 2.05 "Moderate" "s" "m"
"186" "Halomonas gomseomensis" "B" 1.369 2.055 "Moderate" "s" "m"
"187" "Halomonas janggokensis" "B" 1.712 2.568 "Moderate" "s" "m"
"188" "Salinicola salarius" "B" 1.712 3.425 "Moderate" "s" "m"
"189" "Halomonas denitrificans" "B" 1.369 1.712 "Moderate" "s" "m"
"190" "Petrotoga halophila" "B" 0.68 1.03 "Moderate" "s" "m"
