"Espécie" "Domínio" "Mínimo.sup" "Máximo.sup" "Classificação" "Sal.é.NaCl." "Unidade"
"175" "Methylohalobius crimeensis" "B" 0.2 2.5 "Moderate" "s" "m"
"176" "Oceanisphaera donghaensis" "B" 0.085 1.37 "Moderate" "s" "m"
"177" "Bacillus taeanensis" "B" 0 2.05 "Moderate" "s" "m"
"178" "Marinobacter koreensis" "B" 0.08 3.42 "Moderate" "s" "m"
"179" "Marinobacter vinifirmus" "B" 0 3.42 "Moderate" "s" "m"
"180" "Thiomicrospira halophila" "B" 0.5 3.5 "Moderate" "s" "m"
"181" "Desulfohalobium utahense" "B" 0.34 4.11 "Moderate" "s" "m"
"182" "Nesterenkonia aethiopica" "B" 0.51 2.05 "Moderate" "s" "m"
"183" "Marinobacter algicola" "B" 0.17 1.54 "Moderate" "s" "m"
"184" "Gracilibacillus orientalis" "B" 0.17 3.42 "Moderate" "s" "m"
"185" "Bacillus salarius" "B" 0.51 3.42 "Moderate" "s" "m"
"186" "Halomonas gomseomensis" "B" 0.171 3.425 "Moderate" "s" "m"
"187" "Halomonas janggokensis" "B" 0.171 3.425 "Moderate" "s" "m"
"188" "Salinicola salarius" "B" 0 4.281 "Moderate" "s" "m"
"189" "Halomonas denitrificans" "B" 0.343 3.425 "Moderate" "s" "m"
"190" "Petrotoga halophila" "B" 0.08 1.54 "Moderate" "s" "m"
"191" "Marinobacterium halophilum" "B" 0.17 2.57 "Moderate" "s" "m"
"192" "Methylohalomonas lacus" "B" 0.5 4 "Moderate" "s" "m"
"193" "Thiohalomonas denitrificans" "B" 1 3 "Moderate" "s" "m"
"194" "Thiohalomonas nitratireducens" "B" 1 2.5 "Moderate" "s" "m"
"195" "Halomonas caseinilytica" "B" 0.086 2.568 "Moderate" "s" "m"
"196" "Bacillus halochares" "B" 1 4 "Moderate" "s" "m"
"197" "Thiohalobacter thiocyanaticus" "B" 0.2 3 "Moderate" "s" "m"
"201" "Spiribacter roseus" "B" 0.8 2.2 "Moderate" "s" "m"
"202" "Ruegeria profundi" "B" 0.5 1.9 "Moderate" "s" "m"
"203" "Ruegeria marisrubri" "B" 0.5 2.6 "Moderate" "s" "m"
"204" "Methanohalophilus mahii" "B" 0.3 2.5 "No Class" "s" "m"
"205" "Halomonas marisflavae" "B" 0.08 4.62 "No Class" "s" "m"
"206" "Thalassomonas viridans" "B" 0.51 0.68 "No Class" "s" "m"
"207" "Vibrio agarivorans" "B" 0.34 1.03 "No Class" "s" "m"
"208" "Psychromonas marina" "B" 0.17 1.2 "No Class" "s" "m"
"209" "Pseudoalteromonas issachenkonii" "B" 0.08 2.57 "No Class" "s" "m"
"210" "Halomonas muralis" "B" 0 2.57 "No Class" "s" "m"
"211" "Vibrio calviensis" "B" 0.26 2.05 "No Class" "s" "m"
