"Espécie" "Domínio" "Mínimo.sup" "Máximo.sup" "Classificação" "Sal.é.NaCl." "Unidade"
"1029" "Acuticoccus mangrovi" "B" 0.171115674195756 1.71115674195756 "Moderate" "s" "p"
"1030" "Alkalicaulis satelles" "B" 0 2.39561943874059 "Moderate" "s" "p"
"1031" "Aquibacillus kalidii" "B" 0 2.39561943874059 "Moderate" "s" "p"
"1032" "Desulfovibrio subterraneus" "B" 0 0.684462696783025 "Tolerant" "s" "g"
"1033" "Halobacillus fulvus" "B" 0.342231348391513 5.64681724845996 "Moderate" "s" "p"
"1034" "Halobaculum halophilum" "A" 1.7 4.8 "No Class" "s" "m"
"1035" "Halobaculum salinum" "A" 1.7 4.8 "No Class" "s" "m"
"1036" "Halomonas azerbaijanica" "B" 0 2.05338809034908 "Slight" "s" "p"
"1037" "Halomonas diversa" "B" 0 3.25119780971937 "Moderate" "s" "p"
"1038" "Halomonas icarae" "B" 0 4.10677618069815 "Moderate" "s" "p"
"1039" "Halosimplex halophilum" "A" 1.4 5.1 "No Class" "s" "m"
"1040" "Halosimplex salinum" "A" 2.1 4.8 "No Class" "s" "m"
"1041" "Lolliginicoccus lacisalsi" "B" 0 1.71115674195756 "Tolerant" "s" "p"
"1042" "Kaustia mangrovi" "B" 0.342231348391513 2.39561943874059 "Moderate" "s" "p"
"1043" "Kushneria phosphatilytica" "B" 0.0855578370978782 3.42231348391513 "No Class" "s" "p"
"1044" "Lunatibacter salilacus" "B" 0 1.19780971937029 "Slight" "s" "p"
"1045" "Mangrovivirga cuniculi" "B" 0.513347022587269 1.88227241615332 "Moderate" "s" "p"
"1046" "Marinobacter mangrovi" "B" 0 3.08008213552361 "Tolerant" "s" "p"
"1048" "Oricola thermophila" "B" 0.171115674195756 1.02669404517454 "Slight" "s" "p"
"1049" "Paraliobacillus salinarum" "B" 0.342231348391513 2.56673511293635 "Slight" "s" "p"
"1050" "Photobacterium arenosum" "B" 0 1.02669404517454 "No Class" "s" "p"
"1051" "Prauserella cavernicola" "B" 0 1.19780971937029 "Tolerant" "s" "p"
"1052" "Occultella aeris" "B" 0.0855578370978782 1.02669404517454 "Tolerant" "s" "p"
"1053" "Rossellomorea arthrocnemi" "B" 0 4.27789185489391 "Tolerant" "s" "p"
"1054" "Ruania rhizosphaerae" "B" 0 1.88227241615332 "Moderate" "s" "p"
"1055" "Salinadaptatus halalkaliphilus" "A" 2.6 5.3 "No Class" "s" "m"
"1056" "Aequorivita iocasae" "B" 0.171115674195756 1.71115674195756 "Moderate" "s" "p"
"1057" "Aliidiomarina halalkaliphila" "B" 0 2.22450376454483 "No Class" "s" "p"
"1058" "Alteribacter keqinensis" "B" 0 2.7378507871321 "Moderate" "s" "p"
"1059" "Aquibacillus saliphilus" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p"
"1060" "Halosolutus amylolyticus" "A" 2 4.8 "Extreme" "s" "m"
"1061" "Halosolutus gelatinilyticus" "A" 1.4 4.8 "Extreme" "s" "m"
"1062" "Halosolutus halophilus" "A" 1.7 4.8 "Extreme" "s" "m"
"1063" "Dethiosulfovibrio faecalis" "B" 0 1.6 "Tolerant" "s" "m"
"1064" "Haladaptatus halobius" "A" 1.7 4.8 "Extreme" "s" "m"
"1065" "Haladaptatus salinisoli" "A" 3.4 4.8 "Extreme" "s" "m"
"1066" "Halalkalibacterium roseum" "B" 0.684462696783025 3.42231348391513 "Moderate" "s" "p"
"1067" "Halobaculum rubrum" "A" 1.7 4.8 "Extreme" "s" "m"
"1068" "Halocatena salina" "A" 1.4 4.8 "No Class" "s" "m"
"1069" "Halomonas antri" "B" 0 2.22450376454483 "Moderate" "s" "p"
"1070" "Halomonas getboli" "B" 0.171115674195756 2.56673511293635 "Tolerant" "s" "p"
"1071" "Halorhabdus amylolytica" "A" 3.08008213552361 5.13347022587269 "Extreme" "s" "p"
"1072" "Halorhabdus salina" "A" 3.08008213552361 5.13347022587269 "Extreme" "s" "p"
"1073" "Halorubrum salinarum" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p"
"1074" "Halorussus halobius" "A" 0.9 4.8 "No Class" "s" "m"
"1075" "Halorussus marinus" "A" 0.9 4.8 "No Class" "s" "m"
"1076" "Halorussus pelagicus" "A" 2 4.8 "No Class" "s" "m"
"1077" "Miniphocaeibacter halophilus" "B" 0 0.598904859685147 "Moderate" "s" "g"
"1078" "Natrinema halophilum" "A" 1.4 4.8 "Extreme" "s" "m"
"1079" "Natrinema salinisoli" "A" 1.7 4.8 "Extreme" "s" "m"
"1080" "Natrinema amylolyticum" "A" 1.4 4.8 "Extreme" "s" "m"
"1081" "Haloterrigena alkaliphila" "A" 1.4 5.1 "Extreme" "s" "m"
"1082" "Paracoccus salsus" "B" 0.342231348391513 1.54004106776181 "Slight" "s" "p"
"1085" "Pseudalkalibacillus salsuginis" "B" 0 3.42231348391513 "Tolerant" "s" "p"
"1086" "Pseudovibrio flavus" "B" 0.0855578370978782 0.855578370978782 "No Class" "s" "p"
"1087" "Psychrobacter halodurans" "B" 0 2.05338809034908 "Slight" "s" "p"
"1088" "Psychrobacter coccoides" "B" 0.0855578370978782 2.05338809034908 "Slight" "s" "p"
"1089" "Sagittula salina" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p"
"1090" "Sediminibacillus dalangtanensis" "B" 0 3.69609856262834 "Moderate" "s" "p"
"1091" "Sinomicrobium weinanense" "B" 0 2.05338809034908 "No Class" "s" "p"
"1092" "Thiomicrorhabdus heinhorstiae" "B" 0.08 0.689 "Moderate" "s" "m"
"1093" "Planococcus halophilus" "B" 0 5.5 "No Class" "s" "m"
"1096" "Alcanivorax xiamenensis" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p"
"1097" "Arcobacter roscoffensis" "B" 0.342231348391513 1.19780971937029 "No Class" "s" "p"
"1098" "Brevibacillus humidisoli" "B" 0 1.02669404517454 "Tolerant" "s" "p"
"1099" "Haloarcula terrestris" "A" 2.56673511293635 5.13347022587269 "Extreme" "s" "p"
"1100" "Salinimicrobium tongyeongense" "B" 0.0855578370978782 1.19780971937029 "Moderate" "s" "p"
"1101" "Georgenia halotolerans" "B" 0 2.56673511293635 "Tolerant" "s" "p"
"1102" "Gillisia lutea" "B" 0 1.71115674195756 "No Class" "s" "p"
"1103" "Gracilibacillus salinarum" "B" 0 2.56673511293635 "Tolerant" "s" "p"
"1104" "Gracilibacillus caseinilyticus" "B" 0 3.42231348391513 "Tolerant" "s" "p"
"1105" "Gracilimonas sediminicola" "B" 0 1.71115674195756 "Tolerant" "s" "p"
"1106" "Gramella oceanisediminis" "B" 0 1.54004106776181 "Moderate" "s" "p"
"1107" "Halobacterium wangiae" "A" 1.4 4.8 "Extreme" "s" "m"
"1108" "Halobacterium zhouii" "A" 1.7 4.3 "Extreme" "s" "m"
"1109" "Halomicroarcula laminariae" "A" 1.4 44.8 "Extreme" "s" "m"
"1110" "Halomicroarcula marina" "A" 2.6 4.8 "Extreme" "s" "m"
"1111" "Halomonas dongshanensis" "B" 0.0855578370978782 3.08008213552361 "Moderate" "s" "p"
"1112" "Lactiplantibacillus brownii" "B" 0 1.02669404517454 "Slight" "s" "p"
"1113" "Lentibacillus daqui" "B" 0 3.42231348391513 "Moderate" "s" "p"
"1114" "Marinitoga aeolica" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "g"
"1115" "Marinobacter iranensis" "B" 0.0855578370978782 2.56673511293635 "Slight" "s" "p"
"1116" "Marinobacter panjinensis" "B" 0.0342231348391513 2.56673511293635 "Moderate" "s" "p"
"1117" "Maritalea mediterranea" "B" 0 2.13894592744695 "No Class" "s" "p"
"1118" "Marivirga aurantiaca" "B" 0.342231348391513 2.56673511293635 "No Class" "s" "p"
"1119" "Microbulbifer zhoushanensis" "B" 0.171115674195756 2.56673511293635 "Tolerant" "s" "p"
"1120" "Microbulbifer sediminum" "B" 0.171115674195756 2.56673511293635 "Tolerant" "s" "p"
"1121" "Microbulbifer guangxiensis" "B" 0.171115674195756 1.71115674195756 "Tolerant" "s" "p"
"1123" "Natronosalvus halobius" "A" 0.9 4.8 "No Class" "s" "m"
"1124" "Natronosalvus caseinilyticus" "A" 1.4 5.1 "No Class" "s" "m"
"1125" "Natronosalvus vescus" "A" 0.9 4.8 "No Class" "s" "m"
"1126" "Natronosalvus rutilus" "A" 0.9 4.8 "No Class" "s" "m"
"1127" "Natronosalvus amylolyticus" "A" 0.9 4.8 "No Class" "s" "m"
"1128" "Nocardiopsis suaedae" "B" 0 3.76454483230664 "No Class" "s" "p"
"1129" "Nocardiopsis endophytica" "B" 0 2.90896646132786 "No Class" "s" "p"
"1130" "Pacificoceanicola onchidii" "B" 0.0855578370978782 1.11225188227242 "Slight" "s" "p"
"1131" "Parathalassolituus penaei" "B" 0 0.684462696783025 "No Class" "s" "p"
"1132" "Profundirhabdus halotolerans" "B" 0 2.22450376454483 "No Class" "s" "p"
"1133" "Radiobacillus kanasensis" "B" 0 2.39561943874059 "Tolerant" "s" "p"
"1134" "Salinigranum marinum" "A" 1.4 5.1 "No Class" "s" "m"
"1135" "Halohasta salina" "A" 1.4 4.8 "No Class" "s" "m"
"1136" "Salinimicrobium profundisediminis" "B" 0 1.71115674195756 "No Class" "s" "p"
"1137" "Salipaludibacillus daqingensis" "B" 0.171115674195756 2.05338809034908 "Moderate" "s" "p"
"1138" "Vibrio eleionomae" "B" 0.171115674195756 1.71115674195756 "No Class" "s" "p"
