Espécie	Domínio	Mínimo opt	Máximo opt	Mínimo sup	Máximo sup	Classificação	Sal é NaCl?	Unidade	Checado?	Referência	journal	Ano
Dichotomicrobium thermohalophilum	B	1,369	2,397	0,137	3,767	No Class	s	m		Ventosa et al. 1998		
Halobacillus halophilus	B	1,712	1,712	0,342	3,425	No Class	s	m		Ventosa et al. 1998		
Marinococcus halophilus	B	1,712	1,712	0,342	4,281	No Class	s	m		Ventosa et al. 1998		
Salimicrobium album	B	1,712	1,712	0,342	4,281	No Class	s	m		Ventosa et al. 1998 / Yoon et al 2007	Micro Society	
Salinococcus roseus	B	1,712	1,712	0,154	4,281	No Class	s	m		Ventosa et al. 1998		
Salinococcus hispanicus	B	1,712	1,712	0,086	4,281	No Class	s	m		Ventosa et al. 1998		
Actinopolyspora mortivallis	B	1,712	2,568	0,856	5,137	No Class	s	m		Ventosa et al. 1998		
Actinopolyspora iraquiensis	B	1,712	2,568	0,856	3,425	No Class	s	m		Ventosa et al. 1998		
Nocardiopsis lucentensis	B	0,856	1,712			No Class	s	m		Ventosa et al. 1998		
Haliangium ochraceum	B	0,171	0,514	0,086	1,027	No Class	s	m		Fudou et al.  2002		
Rhodothermus marinus	B	0,342	0,342	0	1,027	No Class	s	m		Alfredsson et al. 1988		
Nocardiopsis kunsanensis	B	1,712	1,712	0,514	3,425	No Class	s	m		Chun et al. 2000 / Chen et al 2009 / Claverías et al 2022	Micro Society	2000
Vibrio fluvialis	B	1,027	1,027	1,369	1,712	No Class	s	m		Joseph et al. 1982		
Natrinema pallidum	A	3,9	3,9	1,7	5,137	No Class	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011		
Halopiger djelfamassiliensis	A			2,055	4,281	No Class	s	m		Quadri et al. 2016		
Natrinema pellirubrum	A	3,9	3,9	2	5,137	No Class	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011		
Natronococcus xinjiangense	A			2,055	5,137	No Class	s	m		Quadri et al. 2016		
Halogeometricum borinquense	A	3,9	3,9	1,36	5,137	No Class	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011		
Natrinema gali	A	3	3	1,7	5,137	No Class	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011		
Halostargnicola kamekurae	A			2,055	5,137	No Class	s	m		Quadri et al. 2016		
Halorubrum saccharovorum	A	3,5	4,5	1,5	5,2	No Class	s	m		Quadri et al. 2016 / McGenity e Grant 1995		
Haloarcula californiae	A			2,911	5,137	No Class	s	m		Quadri et al. 2016		
Haloarcula japonica	A	3,5	3,5	2,5	5,137	No Class	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011		
Halorubrum sodomense	A	1,7	2,5	0,5	4,3	No Class	s	m		McGenity e grant 1995		
Natronococcus arnylolyticus	A	2,568	3,425	1,369	5,137	No Class	s	m		Haruhiko et al. 1995		
Haloferax volcanii	A	2	2	1	5	No Class	s	m		Hartman et al. 2010 / Bowers e Wiegel 2011		
Halobacterium sodomense	A	2	2	0,5	4,3	No Class	s	m		Oren (apr) 1983		
Flavobacteium gillisiae	B	0,599	0,599	0	0,856	No Class	s	m		MacCammon e Bowman 2000		
Flavobacterium tegetinicola	B	0	0	0	0,856	No Class	s	m		MacCammon e Bowman 2000		
Halalkalicocus jeotgali	A	2,55	2,55	1,7	5,1	No Class	s	m		Bowers e Wiegel 2011		
Halalkalicocus tibetensis	A	3,4	3,4	1,4	5,2	No Class	s	m		Bowers e Wiegel 2011		
Haloarcula argentinensis	A	2,8	2,8	2	4,5	No Class	s	m		Bowers e Wiegel 2011		
Halobacterium jilantainense	A	3,3	3,3	2,7	5,2	No Class	s	m		Bowers e Wiegel 2011		
Halobacterium noricense	A	2,7	2,7	2,1		No Class	s	m		Bowers e Wiegel 2011		
Halobaculum gomorrense	A	2	2	1		No Class	s	m		Bowers e Wiegel 2011		
Halobioforma lacisalsi	A	3,5	3,5	1,7		No Class	s	m		Bowers e Wiegel 2011		
Halococcus morrhuae	A	4	4	2,5		No Class	s	m		Bowers e Wiegel 2011		
Halococcus sacchrolyticus	A	4	4	2,5		No Class	s	m		Bowers e Wiegel 2011		
Halococcus salifodinae	A	3,9	3,9	2,13		No Class	s	m		Bowers e Wiegel 2011		
Haloferax denitrificans	A	2,5	2,5	1,5	4,5	No Class	s	m		Bowers e Wiegel 2011		
Haloferax gibbonsii	A	3,5	3,5	1,5	5,2	No Class	s	m		Bowers e Wiegel 2011		
Haloferax lucentensis	A	4,3	4,3	1,7	5,1	No Class	s	m		Bowers e Wiegel 2011		
Haloferax mucosum 	A	3	3	1,7	5,1	No Class	s	m		Bowers e Wiegel 2011		
Halomicrobium katseii	A	4,3	4,3	3,4	5,2	No Class	s	m		Bowers e Wiegel 2011		
Halomicrobium mukohataei	A	3,3	3,3	2,5	4,5	No Class	s	m		Bowers e Wiegel 2011		
Halorhabdus utahensis	A	4,6	4,6	1,5	5,1	No Class	s	m		Bowers e Wiegel 2011		
Halorubrum alkaliphilum	A	4,1	4,1	1,8	5,2	No Class	s	m		Bowers e Wiegel 2011		
Halorubrum coriense	A	2,5	2,5	2	5,2	No Class	s	m		Bowers e Wiegel 2011		
Halorubrum distributum	A	20	25	12	30	Extreme	s	p		Bowers e Wiegel 2011 / Infante-Dominguez et al 2020 / Quadri et al. 2016 / Ventosa et al. 2004 /  Xu et al 2007 / Cui et al. 2007	Micro Society	2020
Halorubrum ejiorense	A	3,4	3,4	2,5	5	No Class	s	m		Bowers e Wiegel 2011		
Halorubrum ezzemoulense	A	3,4	3,4	2,5	4,3	No Class	s	m		Bowers e Wiegel 2011		
Halorubrum tabenquichense	A	4,25	4,25	2,5	5,2	No Class	s	m		Bowers e Wiegel 2011		
Halorubrum tibetense	A	3,2	3,2	1,7	5,2	No Class	s	m		Bowers e Wiegel 2011		
Halorubrum vacuolatum	A	3,5	3,5	2,6	5,1	No Class	s	m		Bowers e Wiegel 2011		
Halosimplex carlsbadensee	A	4,3	4,3	3,4	5,1	No Class	s	m		Bowers e Wiegel 2011		
Haloterrigena turkmenica	A	3,4	3,4	2		No Class	s	m		Bowers e Wiegel 2011		
Natrialba hulunbeirensis	A	3,4	3,4	2,04	5,1	No Class	s	m		Bowers e Wiegel 2011		
Natrialba magadii	A	3,5	3,5	2	5,2	No Class	s	m		Bowers e Wiegel 2011		
Natrinema versiforme	A	3,9	3,9	1,5		No Class	s	m		Bowers e Wiegel 2011		
Natronobacterium gregoryi	A	3	3	2,5	5,2	No Class	s	m		Bowers e Wiegel 2011		
Natronococcus occultus	A	2,8	2,8	1,4	5,2	No Class	s	m		Bowers e Wiegel 2011		
Natronolimnobius baerhuensis	A	3,4	3,4	2,6		No Class	s	m		Bowers e Wiegel 2011		
Natronolimnohabitans innermongolicus	A	3,5	3,5	2,5	4,5	Extreme	s	m		Bowers e Wiegel 2011 / Sorokin et al 2020	Micro Society	2020
Natronomonas pharaonis	A	3,5	3,5	2	5,2	No Class	s	m		Bowers e Wiegel 2011		
Natronorubrum bangense	A	3,8	3,8	2	4,3	No Class	s	m		Bowers e Wiegel 2011		
Natronorubrum sulfidifaciens	A	3,1	3,1	2,1	4,8	No Class	s	m		Bowers e Wiegel 2011		
Natronorubrum tibetense	A	3,4	3,4	2	5,1	No Class	s	m		Bowers e Wiegel 2011		
Gracilibacillus halotolerans	B	0	0	0	3,42	No Class	s	m		Waino et al 1999		
Virgibacillus kekensis	B	1,71	1,71	0	4,28	No Class	s	m		Chen et al. 2008		
Gracilibacillus quinghaiensis 	B	0,17	0,51	0,08	1,36	No Class	s	m		Chen et al. 2008		
Rubrimonas shengliensis	B	0,17	0,17	0	1,71	No Class	s	m		Cai et al. 2011		
Gracilibacillus halophilus	B	2,57	2,57	1,9	5,14	No Class	s	m		Chen et al. 2008		
Spirochaeta lutea	B	0,34	1,28	0,171	1,54	No Class	s	m		Shivani et al. 2015		
Spirochaeta asiatica	B	0,51	1,03	0,34	1,37	No Class	s	m		Shivani et al. 2015		
Spirochaeta alkalica	B	0,86	0,86	0,51	1,71	No Class	s	m		Shivani et al. 2015		
Micrococcus halobius	B	1	2	1	5	Moderate	s	m	Sim	Onish and Kamekura	Micro Society	1972
Debaryomyces hansenii	E					No Class	s	m		Turk et al. 2007		
Zygosaccharomyces rouxii	E					No Class	s	m		Turk et al. 2007		
Yarrowia lipolytica	E					No Class	s	m		Turk et al. 2007		
Candida membranefaciens	E					No Class	s	m		Turk et al. 2007		
Phaeotheca triangularisaur	E					No Class	s	m		Turk et al. 2007		
Psychrobacillus insolitus	B					No Class	s	m		Turk et al. 2007		
Psychrobacillus psychrotolerans	B					No Class	s	m		Turk et al. 2007		
Psychrobacillus psychrodurans	B					No Class	s	m		Turk et al. 2007		
Lentibacillus halophilus	B	20	26	12	20	Extreme	s	p		Tanasupawat et al. 2006	Micro Society	2006
Halococcus thailandensis	A	20	30	15	30	Extreme	s	p		Bowers e Wiegel 2011 / Namwong et al 2007	Micro Society	2007
Halalkalicoccus jeotgali	A	15	15	10	30	Extreme	s	p		Roh et al 2008	Micro Society	2008
Haladaptatus cibarius	A	15	15	10	30	Extreme	s	p		Roh et al 2010	Micro Society	2010
Halonotius pteroides	A	18		16	36	Extreme	s	p		Burns et al 2010	Micro Society	2010
Halostagnicola kamekurae	A	15	15	10	30	Extreme	s	p		Nagaoka et al 2010	Micro Society	2010
Natronomonas moolapensis	A	18	20	14	36	Extreme	s	p		Burns et al 2010	Micro Society	2010
Haloarcula salaria	A	20	25	15	30	Extreme	s	p		Namwong et al 2011	Micro Society	2011
Haloarcula tradensis	A	20	25	15	30	Extreme	s	p		Namwong et al 2011	Micro Society	2011
Halobellus clavatus	A	15	15	10	30	Extreme	s	p		Cui et al 2011	Micro Society	2011
Halorientalis regularis	A	18	20	15	30	Extreme	s	p		Cui et al 2011	Micro Society	2011
Haloarchaeobius iranensis	A	3,5	3,5	2	5	Extreme	s	p		Makhdoumi-Kakhki et al 2012	Micro Society	2012
Actinopolyspora lacussalsi	B	12	12	10	20	Extreme	s	p		Guan et al 2013	Micro Society	2013
Halanaerobium sehlinense	B	20	20	5	30	Extreme	s	p		Abdeljabbar et al 2013	Micro Society	2013
Halobaculum magnesiiphilum	A	9	12	6	30	Extreme	s	p	Magnesium	Shimoshige et al 2013	Micro Society	2013
Halomicroarcula pellucida	A	25	25	20	30	Extreme	s	p		Echigo et al 2013	Micro Society	2013
Halopelagius fulvigenes	A	20	25	10	30	Extreme	s	p		Liu et al 2013	Micro Society	2013
Sporohalobacter salinus	B	20	20	5	30	Extreme	s	p		Abdallah et al 2015	Micro Society	2015
Halobellus ramosii	A	20	20	12,5	30	Extreme	Sais totais	p		Pérez-Davó et al 2015	Micro Society	2015
Halocalculus aciditolerans	A	15	18	12	30	Extreme	s	p	Acid	Minegishi et al 2015	Micro Society	2015
Halococcus agarilyticus	A	27	27	24	30	Extreme	s	p		Minegishi et al 2015	Micro Society	2015
Halolamina sediminis	A	20	25	15	30	Extreme	s	p		Koh et al 2015	Micro Society	2015
Halorubrum persicum	A	20	20	15	30	Extreme	s	p		Corral et al 2015	Micro Society	2015
Halostagnicola bangensis	A	25	25	20	30	Extreme	s	p		Corral et al 2015	Micro Society	2015
Halovenus salina	A	25	25	15	30	Extreme	Sais totais	p		Infante-Domínguez et al 2015	Micro Society	2015
Halorubrum halodurans	A	25	25	20	30	Extreme	s	p		Corral et al. 2016	Micro Society	2016
Halostella salina	A	20	20	15	30	Extreme	s	p		Song et al 2016	Micro Society	2016
Haloactinomyces albus	B	20	20	10	35	Extreme	s	p		Lai et al 2017	Micro Society	2017
Halobaculum roseum	A	20	20	10	30	Extreme	s	p		Chen et al 2017	Micro Society	2017
Halorubrum trueperi	A	20	20	15	30	Extreme	s	p		Chen et al 2017	Micro Society	2017
Salinifilum proteinilyticum	B	15	20	12	25	Extreme	s	p		Nikou et al 2017	Micro Society	2017
Saliphagus infecundisoli	A	20	20	5	35	Extreme	s	p		Yin et al 2017	Micro Society	2017
Halorubrum aethiopicum	A	20	25	15	30	Extreme	s	p		Gibtan et al 2018	Micro Society	2018
Halonotius aquaticus	A	25	25	15	30	Extreme	Sais	p		Duráan-Viseras et al 2019	Micro Society	2019
Halorientalis pallida	A	25	25	15	30	Extreme	s	p		Duráan-Viseras et al 2019	Micro Society	2019
Marinobacter lipolyticus	B	7,5	7,5	1	15	Moderate	Sais totais	p		Pérez et al. 2012/ Martín et al. 2003	Micro Society	2003
Halomonas almeriensis	B	7,5	7,5	5	15	Moderate	Sais Marinhos	p		Martínez-Checa et al 2005	Micro Society	2005
Psychrobacter alimentarius	B	2	3	0	12	Moderate	s	p		Yoon et al. 2005	Micro Society	2005
Chromohalobacter nigrandesensis	B	7,5	7,5	0,5	25	Moderate	Sais totais	p		Prado et al. 2006	Micro Society	2006
Oceanobacillus oncorhynchi	B	7	10	0	22	Moderate	s	p	Alcalino	Romano et al. 2006	Micro Society	2006
Aquisalimonas asiatica	B	1,2	10	1	20	Moderate	Sais totais	p		Márquez et al. 2007	Micro Society	2007
Salsuginibacillus kocurii	B	10	10	3	20	Moderate	Sais totais	p		Carrasco et al. 2007	Micro Society	2007
Chromohalobacter japonicus	B	7,5	12,5	5	25	Moderate	s	p		Sánchez-Porro et al 2007	Micro Society	2007
Salinicoccus kunmingensis	B	8	10	0,5	25	Moderate	s	p		Chen et al. 2007	Micro Society	2007
Halomonas kribbensis	B	5	5	1	14	Moderate	s	p		Jeon et al. 2007	Micro Society	2007
Salinicoccus siamensis	B	10	10	1,5	25	Moderate	s	p		Pakdeeto et al. 2007	Micro Society	2007
Desulfovibrio marinus	B	2,5	5	0,5	11	Moderate	s	p		Thabet et al 2007	Micro Society	2007
Terribacillus goriensis	B	0	2	0	14	Moderate	s	p		Kim et al 2007 / Krishnamurthi et al 2008	Micro Society	2007
Salinicola socius	B			0,5	30	Moderate	s	p		Anan’ina et al 2007	Micro Society	2007
Salinimicrobium catena	B	1	4	0,1	10	Moderate	s	p		Ying et al 2007 / Lim et al 2008	Micro Society	2007
Alkalibacillus silvisoli	B	10	15	5	25	Moderate	s	p	Alkali	Usami et al 2007	Micro Society	2007
Marinobacter segnicrescens 	B	4	8	1	15	Moderate	s	p		Guo et al 2007	Micro Society	2007
Reinekea blandensis	B			0,3	12	Moderate	Marine Salts	p		Pinhassi et al 2007	Micro Society	2007
Modicisalibacter tunisiensis	B	10	10	1	25	Moderate	s	p		Gam et al 2007	Micro Society	2007
Salimicrobium luteum	B	10	10	2	27	Moderate	s	p		Yoon et al 2007	Micro Society	2007
Kushneria avicenniae	B	5	5	0	25	Moderate	s	p		Soto-Ramírez et al 2007/Sánchez-Porro et al 2009	Micro Society	2007
Marinobacter salsuginis 	B	5	5	1	20	Moderate	s	p		Antunes et al 2007	Micro Society	2007
Halomonas gudaonensis	B	10	15	1	20	Moderate	s	p		Wang et al 2007	Micro Society	2007
Halomonas shengliensis	B	5	15	0	15	Moderate	s	p		Wang et al 2007	Micro Society	2007
Salinicola halophilus	B	7,5	10	3	25	Moderate	s	p		Aguilera et al 2007 / De la Haba 2010	Micro Society	2007
Salinicoccus luteus	B	10	10	1	25	Moderate	s	p		Zhang et al 2007	Micro Society	2007
Halalkalibacillus halophilus	B	10	15	5	25	Moderate	s	p	Alkali	Echigo et al 2007	Micro Society	2007
Halomonas saccharevitans	B	3	7,5	0,5	15	Moderate	s	p		Xu et al 2007	Micro Society	2007
Kushneria indalinina	B	7,5	10	3	25	Moderate	s	p		Cabrera et al 2007/Sánchez-Porro et al 2009	Micro Society	2007
Halobacillus profundi	B	10	10	0,5	30	Moderate	s	p		Hua et al 2007	Micro Society	2007
Halobacillus kuroshimensis	B	6	6	0,5	25	Moderate	s	p		Hua et al 2007	Micro Society	2007
Lentibacillus halodurans	B	8	12	5	30	Moderate	s	p		Yuan et al 2007	Micro Society	2007
Piscibacillus salipiscarius	B	10	20	2	30	Moderate	s	p		Tanasupawat et al 2007	Micro Society	2007
Salinicoccus jeotgali	B	5	5	0,5	15	Moderate	s	p		Aslam et al 2007	Micro Society	2007
Lentibacillus kapialis	B	15	15	5	3	Moderate	s	p		Pakdeeto et al 2007	Micro Society	2007
Sediminibacillus halophilus	B	5	7,5	0	20	Moderate	s	p		Carrasco et al. 2008	Micro Society	2008
Marinobacter pelagius	B	5	5	0,5	15	Moderate	s	p		Xu et al. 2008	Micro Society	2008
Halopseudomonas xiamenensis	B	1	3	0	8	Moderate	s	p		Lai et al 2008 / Rudra and Gupta 2021	Micro Society	2008
Microbulbifer halophilus	B	10	10	1	20	Moderate	s	p		Tang et al 2008	Micro Society	2008
Haloactinospora alba	B	15	15	9	21	Moderate	s	p		Tang et al 2008	Micro Society	2008
Halomonas lutea	B	5	10	1	20	Moderate	s	p		Wang et al 2008	Micro Society	2008
Halolactibacillus alkaliphilus	B	2,5	2,5	0,5	30	Moderate	s	p	Alkali	Cao et al 2008	Micro Society	2008
Virgibacillus salarius	B	7	10	0,5	25	Moderate	s	p		Hua et al 2008	Micro Society	2008
Halomonas korlensis	B	6	10	0,5	25	Moderate	Sais totais	p		Li et al 2008	Micro Society	2008
Alteromonas genovensis	B			2	15	Moderate	s	p		Vandecandelaere et al 2008	Micro Society	2008
Marinobacter mobilis	B	3	5	0,5	10	Moderate	s	p		Huo et al 2008	Micro Society	2008
Bacillus aidingensis	B	12	12	8	33	Moderate	s	p		Xue et al 2008	Micro Society	2008
Halomonas daqingensis	B	5	10	1	15	Moderate	s	p		Wu et al 2008	Micro Society	2008
Oceanobacillus caeni	B	2	5		10	Moderate	s	p		Nam et al 2008	Micro Society	2008
Nesterenkonia halophila	B	10	10	0,5	30	Moderate	s	p	Alkali	Li et al 2008	Micro Society	2008
Marinobacter guineae	B			1	15	Moderate	s	p	Frio	Montes et al 2008	Micro Society	2008
Salinimicrobium xinjiangense	B	2	3	0,5	10	Moderate	s	p		Lim et al 2008	Micro Society	2008
Salinicoccus halodurans	B	8	8	0	24	Moderate	s	p		Wang et al 2008	Micro Society	2008
Bacillus aurantiacus	B	3	7	0	15	Moderate	s	p	Alkali	Borsodi et al 2008	Micro Society	2008
Bacillus coahuilensis	B	5	5	0,5	10	Moderate	s	p		Cerritos et al 2008	Micro Society	2008
Salinicoccus iranensis	B	7,5	10	1	25	Moderate	s	p		Amoozegar et al 2008	Micro Society	2008
Salinivibrio proteolyticus	B	5	5	1	17	Moderate	s	p		Amoozegar et al 2008	Micro Society	2008
Halomonas cerina	B	7,5	10	7,5	20	Moderate	s	p		González-Domenech et al 2008	Micro Society	2008
Saccharomonospora saliphila	B	10	10	0	20	Moderate	s	p		Syed et al 2008	Micro Society	2008
Halobacillus seohaensis	B	8	8	1	21	Moderate	s	p		Yoon et al 2008	Micro Society	2008
Albimonas donghaensis	B	2	5	0	14	Moderate	s	p		Lim et al 2008	Micro Society	2008
Bacillus polygoni	B			3	14	Moderate	s	p	Alkali	Aino et al 2008	Micro Society	2008
Halomonas sabkhae	B	7,5	7,5	5	25	Moderate	s	p		Kharroub et al 2008	Micro Society	2008
Lentibacillus salinarum	B	10	12		24	Moderate	s	p		Lee et al 2008	Micro Society	2008
Aquisalibacillus elongatus	B	10	10	3	20	Moderate	s	p		Marquez et al 2008	Micro Society	2008
Sediminibacillus albus	B	7	7	0	22	Moderate	s	p		Wang et al 2009	Micro Society	2009
Alcanivorax hongdengensis	B	3	8	0,5	15	Moderate	s	p		Wu et al 2009	Micro Society	2009
Oceanicola pacificus	B	1	4	0,5	10	Moderate	s	p		Yuan et al 2009	Micro Society	2009
Marinobacter lacisalsi	B	7,5	7,5	3	15	Moderate	s	p		Aguilera et al 2009	Micro Society	2009
Piscibacillus halophilus	B	10	10	1	20	Moderate	s	p		Amoozegar et al 2009	Micro Society	2009
Halomonas ilicicola	B	10	10			Moderate	s	p		Arenas et al 2009	Micro Society	2009
Alteribacillus persepolensis	B	10	10	5	20	Moderate	s	p		Amoozegar et al 2009 / Didari et al 2012	Micro Society	2009
Virgibacillus salinus	B	10	10	3	20	Moderate	s	p		Carrasco et al 2009	Micro Society	2009
Salinivibrio siamensis	B	9	10	1	22	Moderate	s	p		Chamroensaksri et al 2009	Micro Society	2009
Salinicoccus albus	B	10	10	1	30	Moderate	s	p		Chen et al 2009	Micro Society	2009
Pontibacillus halophilus	B	5	10	2	25	Moderate	Sais totais	p		Chen et al 2009	Micro Society	2009
Jeotgalicoccus marinus	B	5	10	0,5	25	Moderate	Sais totais	p		Chen et al 2009	Micro Society	2009
Saccharospirillum salsuginis	B	5	5	1	15	Moderate	s	p		Chen et al 2009	Micro Society	2009
Lishizhenia tianjinensis	B	2	2	0,5	6,5	Moderate	s	p		Chen et al 2009	Micro Society	2009
Halobacillus salsuginis	B	5	10	1	23	Moderate	Sais totais	p		Chen et al 2009	Micro Society	2009
Paraliobacillus quinghaiensis	B	5	5	1	20	Moderate	s	p		Chen et al 2009	Micro Society	2009
Halomonas fontilapidosi	B	5	7,5	3	20	Moderate	s	p		González-Domenech et al 2009	Micro Society	2009
Marinobacter santoriniensis	B	5	10	0,5	16	Moderate	s	p		Handley et al 2009	Micro Society	2009
Ectothiorhodospira variabilis	B	5	8	2	20	Moderate	s	p		Gorlenko et al 2009	Micro Society	2009
Oceanibaculum indicum	B	0,5	7	0	9	Moderate	s	p		Lai et al 2009	Micro Society	2009
Prauserella salsuginis	B	8	10	5	15	Moderate	s	p		Li et al 2009	Micro Society	2009
Prauserella flava	B	8	10	5	15	Moderate	s	p		Li et al 2009	Micro Society	2009
Prauserella aidingensis	B	8	10	5	15	Moderate	s	p		Li et al 2009	Micro Society	2009
Prauserella sediminis	B	10	10	5	20	Moderate	s	p		Li et al 2009	Micro Society	2009
Oceanobacillus kapialis	B	6	14	0,5	24	Moderate	s	p		Namwong et al 2009	Micro Society	2009
Virgibacillus arcticus	B	5	5	0	20	Moderate	s	p		Niederberger et al 2009	Micro Society	2009
Thalassobacillus cyri	B	8	8	1	15	Moderate	s	p		Sanchez-Porro et al 2009	Micro Society	2009
Kushneria aurantia	B	10	10	5	17,5	Moderate	s	p		Sánchez-Porro et al 2009	Micro Society	2009
Saccharopolyspora qijiaojingensis	B	10	15	6	22	Moderate	s	p		Tang et al 2009	Micro Society	2009
Paracoccus saliphilus	B	8	8	1	15	Moderate	s	p		Wang et al 2009	Micro Society	2009
Saccharopolyspora halophila	B	10	15	3	20	Moderate	s	p		Tang et al 2009	Micro Society	2009
Nautella italica	B	2	3	1	7	Moderate	s	p		Vandecandelaere et al 2009	Micro Society	2009
Alkaliphilus halophilus	B	7,5	7,5	0,5	15	Moderate	s	p	Alkali	Wu et al 2010	Micro Society	2010
Amorphus orientalis	B	3	8	0,5	12	Moderate	s	p		Wang et al 2010	Micro Society	2010
Geomicrobium halophilum	B	10	15	5	25	Moderate	s	p	Alkali	Echigo et al 2010	Micro Society	2010
Gracilibacillus thailandensis	B	5	10	1	22	Moderate	s	p		Chamroensaksri et al 2010	Micro Society	2010
Halarchaeum acidiphilum	A	21	24	18	30	Moderate	s	p		Minegishi et al 2010	Micro Society	2010
Haloactinobacterium album	B	7	10	2	16	Moderate	s	p		Tang et al 2010	Micro Society	2010
Halomonas andesensis	B	1	3	0,5	20	Moderate	s	p		Guzmán et al 2010	Micro Society	2010
Halomonas titanicae	B	2	8	0,5	25	Moderate	s	p		Sánchesz-Porro et al 2010	Micro Society	2010
Hwanghaeicola aestuarii	B	2	3	1,5	6	Moderate	s	p		Kim et al 2010	Micro Society	2010
Lentibacillus jeotgali	B	10	15	3	20	Moderate	s	p		Jung et al 2010	Micro Society	2010
Marinobacterium lutimaris	B					Moderate	s	p		Kim et al 2010	Micro Society	2010
Oceanobacillus locisalsi	B	5	10	0	25	Moderate	s	p		Lee et al 2010	Micro Society	2010
Pontibacillus litoralis	B	2	5	0,5	15	Moderate	s	p		Chen et al 2010	Micro Society	2010
Salinicoccus carnicancri	B	12	12	0	20	Moderate	s	p		Jung et al 2010	Micro Society	2010
Salinisphaera dokdonensis	B	10	10	4	21	Moderate	s	p		Gi et al 2010	Micro Society	2010
Terribacillus aidingensis	B	3	7	0,5	21	Moderate	s	p		Liu et al 2010	Micro Society	2010
Virgibacillus subterraneus	B	9	9	0	25	Moderate	s	p		Wang et al 2010	Micro Society	2010
Pontibacillus yanchengensis	B	6	8	3	20	Moderate	s	p		Huang et al. 2015 / Yang et al 2011	Micro Society	2011
Isoalcanivorax pacificus	B	3	5	0,5	12	Moderate	s	p		Lai et al 2011 / Rai et al 2023	Micro Society	2011
Bacillus alkalisediminis	B	5	5	2	10	Moderate	s	p	Alkali	Borsodi et al 2011	Micro Society	2011
Bacillus hemicentroti	B	5	8	0,5	25	Moderate	s	p	Alkali	Chen et al 2011	Micro Society	2011
Cellulomonas phragmiteti	B	5	5	2	7	Moderate	s	p	Alkali	Rusznyák et al 2011	Micro Society	2011
Citreicella aestuarii	B	2	4	1	11	Moderate	s	p		Park et al 2011	Micro Society	2011
Haloactinopolyspora alba	B	10	15	7	23	Moderate	s	p		Tang et al 2011	Micro Society	2011
Halomonas daqiaonensis	B	7	8	2	15	Moderate	s	p		Qu et al 2011	Micro Society	2011
Halomonas rifensis	B	5	7,5	0,5	20	Moderate	Sais marinhos	p		Amjres et al 2011	Micro Society	2011
Halomonas stenophila	B	5	10	3	15	Moderate	s	p		Llamas et al 2011	Micro Society	2011
Halomonas vilamensis	B	5	10	1	25	Moderate	s	p		Menes et al 2011	Micro Society	2011
Marinobacter daqiaonensis	B	5	10	1	15	Moderate	s	p		Qu et al 2011	Micro Society	2011
Marinobacter oulmenensis	B	5	7,5	1	15	Moderate	s	p		Kharroub et al 2011	Micro Society	2011
Roseicitreum antarcticum	B	7	8	0	15	Moderate	s	p		Yu et al 2011	Micro Society	2011
Serinicoccus chungangensis	B	13	13	0	15	Moderate	s	p		Traiwan et al 2011	Micro Society	2011
Serinicoccus profundi	B	3	5	0	14	Moderate	s	p		Xiao et al 2011	Micro Society	2011
Streptohalobacillus salinus	B	7	7	0	20	Moderate	s	p		Wang et al 2011	Micro Society	2011
Thalassobacillus pellis	B	10	10	0,5	25	Moderate	s	p		Sánchez-Porro et al 2011	Micro Society	2011
Thioprofundum hispidum	B	2	2	1	4	Moderate	s	p		Mori et al 2011	Micro Society	2011
Alteribacillus bidgolensis	B	5	7,5	0,5	12,5	Moderate	s	p		Didari et al 2012	Micro Society	2012
Alteribacillus iranensis	B	5	7,5	2,5	15	Moderate	s	p		Bagheri et al 2012 / Begum et al 2016	Micro Society	2012
Desulfobaculum xiamenensis	B	0,5	0,5		3,5	Moderate	s	p		Zhao et al 2012	Micro Society	2012
Fodinibius salinus	B	10	15	4	23	Moderate	s	p		Wang et al 2012	Micro Society	2012
Gracilibacillus bigeumensis	B	7	7	1	22	Moderate	s	p		Kim et al 2012	Micro Society	2012
Gracilibacillus kekensis	B	3	3	0	22	Moderate	s	p		Gao et al 2012	Micro Society	2012
Halanaerobacter jeridensis	B	15	15	6	30	Moderate	s	p		Mezghani et al 2012	Micro Society	2012
Halomonas ramblicola	B	5	7,5	1	30	Moderate	s	p		Luque et al 2012	Micro Society	2012
Halomonas xianhensis	B	5	8	0,05	27,5	Moderate	Sais totais	p		Zhao et al 2012	Micro Society	2012
Mangroviflexus xiamenensis	B	0,5	1	0,2	3,5	Moderate	s	p		Zhao et al 2012	Micro Society	2012
Natribacillus halophilus	B	10	15	7	23	Moderate	s	p	Alkali	Echigo et al 2012	Micro Society	2012
Psychroflexus halocasei	B	6	8	2,5	16	Moderate	s	p		Seiler et al 2012	Micro Society	2012
Roseivivax sediminis	B	5	10	1	15	Moderate	s	p		Xiao et al 2012	Micro Society	2012
Salinactinospora qingdaonensis	B	9	12	1	23	Moderate	s	p		Chang et al 2012	Micro Society	2012
