Espécie	Domínio	Mínimo opt	Máximo opt	Mínimo sup	Máximo sup	Classificação	Sal é NaCl?	Unidade	Checado?	Referência	journal	Ano
Mesonia algae	B			0,17	2,57	Moderate	s	m		Nedashkovskaya et al. 2003	Micro Society	2003
Thialkalivibrio nitratireducens	B	0,4	0,5	0,2	1,5	Moderate	s	m	Alcalino	Sorokin et al. 2003	Micro Society	2003
Marinobacter excellens	B			0,17	2,57	Moderate	s	m		Gorshkova et al. 2003	Micro Society	2003
Psychroflexus tropicus	B	1,28	1,71	0,17	3,42	Moderate	s	m		Donachie et al. 2003	Micro Society	2003
Psychrobacter marincola 	B			0,08	2,65	Moderate	s	m	Frio	Romanenko et al. 2003	Micro Society	2003
Halomonas organivorans	B	1,28	1,71	0,26	5,13	Moderate	s	m		García et al. 2004	Micro Society	2004
Chromohalobacter sarecensis	B	1,37	1,37	0	2,57	Moderate	s	m		Quillaguamán et al. 2004	Micro Society	2004
Halomonas ventosae	B	1,38	1,38			Moderate	s	m		Martínez-Cánovas et al. 2004	Micro Society	2004
Halomonas boliviensis	B	0,86	0,86	0	4,28	Moderate	s	m	Frio/Alcalino	Quillaguamán et al. 2004	Micro Society	2004
Methanobacterium aarhusense	B	0,1	0,9	0,05	1	Moderate	s	m		Shlimon et al. 2004	Micro Society	2004
Kordia algicida	B	0,51	0,51	0,17	0,86	Moderate	s	m		Sohn et al. 2004	Micro Society	2004
Marinibacillus campisalis	B	0,34	0,51	0,08	2,57	Moderate	s	m		Yoon et al. 2004	Micro Society	2004
Alteromonas stellipolaris	B			0,17	1,71	Moderate	s	m	Frio	Van Trappen et al. 2004	Micro Society	2004
Nocardiopsis salina	B	1,71	1,71	0,51	3,42	Moderate	s	m		Li et al. 2004	Micro Society	2004
Desulfovibrio bastinii	B	0,68	0,68	0,17	2,05	Moderate	s	m		Mago et al. 2004	Micro Society	2004
Desulfovibrio gracilis	B	0,86	1,03	0,34	2,05	Moderate	s	m		Mago et al. 2004	Micro Society	2004
Salipiger mucescens	B	1,54	1,71	0,08	3,42	Moderate	s	m		Martínez-Cánovas et al. 2004	Micro Society	2004
Novosphingobium pentaromativorans	B	0,43	0,43	0,17	1,03	Moderate	s	m		Sohn et al. 2004	Micro Society	2004
Paraglaciecola polaris	B	0,17	1,03	0	1,71	Moderate	s	m	Frio	Van Trappen et al. 2004 / Shivaji and Reddy 2014	Micro Society	2004
