Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Ruania rhizosphaerae	B	0	8	0	11	Moderate	s	p	Lu et al 2021	2021	Ruania	Ruaniaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Amorphus orientalis	B	3	8	0,5	12	Moderate	s	p	Wang et al 2010	2010	Amorphus	Acuticoccaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Celerinatantimonas yamalensis 	B	6	8	2	12	Moderate	s	p	Shcherbakova et al 2013	2013	Celerinatantimonas	Celerinatantimonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methylarcula marina	B	3	8	0,05	12	Moderate	s	p	Doronina et al 2000	2000	Methylarcula	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Salipaludibacillus daqingensis	B	8	8	1	12	Moderate	s	p	Guo et al 2023	2023	Salipaludibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Streptomyces chilikensis	B	8	8	2	12	No Class	s	p	Ray et al 2013	2013	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati
Aquibacillus kalidii	B	5	8	0	14	Moderate	s	p	Wang et al 2021	2021	Aquibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Alcanivorax hongdengensis	B	3	8	0,5	15	Moderate	s	p	Wu et al 2009	2009	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Aureibacillus halotolerans	B	4	8	0	15	Tolerant	s	p	Liu et al 2015	2015	Aureibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Brachybacterium saurashtrense	B	8	8	0	15	Tolerant	s	p	Gontia et al 2011	2011	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Halobacillus andaensis	B	8	8	3	15	Moderate	s	p	Wang et al 2015	2015	Halobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas daqiaonensis	B	7	8	2	15	Moderate	s	p	Qu et al 2011	2011	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Lentibacillus populi	B	7	8	0	15	Moderate	s	p	Sun et al 2016	2016	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Marinobacter panjinensis	B	0,2	8	0,2	15	Moderate	s	p	Yang et al 2023	2023	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter segnicrescens 	B	4	8	1	15	Moderate	s	p	Guo et al 2007	2007	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Paracoccus saliphilus	B	8	8	1	15	Moderate	s	p	Wang et al 2009	2009	Paracoccus	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Roseicitreum antarcticum	B	7	8	0	15	Moderate	s	p	Yu et al 2011	2011	Roseicitreum	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Thalassobacillus cyri	B	8	8	1	15	Moderate	s	p	Sanchez-Porro et al 2009	2009	Thalassobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Gracilimonas halophila	B	6	8	2	16	Moderate	s	p	Lu et al 2017	2017	Gracilimonas	Balneolaceae	Balneolales	Balneolia	Balneolota	Pseudomonadati
Psychroflexus halocasei	B	6	8	2,5	16	Moderate	s	p	Seiler et al 2012	2012	Psychroflexus	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Salirhabdus salicampi	B	8	8	0	16	Tolerant	s	p	Lee et al 2017	2017	Salirhabdus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas diversa	B	2	8	0	19	Moderate	s	p	Wang et al 2021	2021	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
