Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Flagellimonas ruestringensis	B	3	3	0,5	9	Slight	s	p	Bruns et al 2001 / Novoa et al 2024	2001	Flagellimonas	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Galbibacter marinus	B	1	3	0	9	Moderate	s	p	Li et al 2013	2013	Galbibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Glycomyces lacisalsi	B	1	3	0	9	Tolerant	s	p	Guan et al 2016	2016	Glycomyces	Glycomycetaceae	Glycomycetales	Actinomycetes	Actinomycetota	Bacillati
Iodidimonas muriae	B	3	3	0,5	9	Moderate	s	p	Iino et al 2016	2016	Iodidimonas	Iodidimonadaceae	Iodidimonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Luteimonas lutimaris	B	0	3	0	9	Tolerant	s	p	Park et al 2011	2011	Luteimonas	Lysobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Maribacter litoralis	B	0	3	0	9	Moderate	s	p	Lee et al 2018	2018	Maribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Marinospirillum megaterium	B	3	3	0,5	9	No Class	s	m	Satomi et al. 1998	1998	Marinospirillum	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Roseivirga ehrenbergii	B	2	3		9	Slight	s	p	Yoon et al 2005 / Nedashkovskaya et al 2005	2005	Roseivirga	Roseivirgaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Shewanella aquimarina	B	2	3	0	9	Slight	s	p	Yoon et al. 2004	2004	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Shewanella marisflavi	B	2	3	0	9	Slight	s	p	Yoon et al. 2004	2004	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Sulfitobacter porphyrae	B	2	3	1	9	No Class	s	p	Fukui et al 2014	2014	Sulfitobacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Acuticoccus mangrovi	B	2	3	1	10	Moderate	s	p	Li et al 2021	2021	Acuticoccus	Acuticoccaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Arenibacterium halophilum	B	3	3	0	10	Tolerant	s	p	Baek et al 2020	2020	Arenibacterium	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Bacillus seohaeanensis	B	3	3	0	10	Tolerant	s	p	Lee et al 2006	2006	Bacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Cyclobacterium xiamenense	B	2,5	3	1	10	Slight	s	p	Shahinpei et al 2014 / Chen et al 2014	2014	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Fusibacter paucivorans	B	0	3	0	10	Tolerant	s	p	Ravot et al 1999	1999	Fusibacter	Incertae sedis	Eubacteriales	Clostridia	Bacillota	Bacillati
Fusibacter tunisiensis	B	3	3	0	10	Tolerant	s	p	Hania et al 2012	2012	Fusibacter	Incertae sedis	Eubacteriales	Clostridia	Bacillota	Bacillati
Halopseudomonas salegens	B	3	3	1	10	Slight	s	p	Amoozegar et al 2014 / Rudra and Gupta 2021	2014	Halopseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halotia wernerae	B	1	3	1	10	Slight	s	p	Genuário et al 2015	2015	Halotia	Nodulariaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati
Kordiimonas lipolytica	B	1	3	0,5	10	Slight	s	p	Wu et al 2016	2016	Kordiimonas	Temperatibacteraceae	Kordiimonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Lysinibacillus halotolerans	B	3	3	0	10	Tolerant	s	p	Kong et al 2014	2014	Lysinibacillus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Maribacter dokdonensis	B	2	3		10	Slight	s	p	Yoon et al. 2005	2005	Maribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Marinobacter zhejiangensis	B	1	3	0,5	10	No Class	s	p	Huo et al 2008	2008	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinomonas dokdonensis	B	2	3	0,5	10	Slight	s	p	Yoon et al. 2005	2005	Marinomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinomonas ostreistagni	B	3	3	1	10	No Class	s	p	Lau et al. 2006	2006	Marinomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinospirillum insulare	B	2	3	0,5	10	No Class	s	p	Satomi et al. 2004	2004	Marinospirillum	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Microbulbifer salipaludis	B	2	3		10	Moderate	s	p	Yoon et al. 2003	2003	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Motilimonas cestriensis	B	1	3	0,5	10	Slight	s	p	Kelbrick et al 2021	2021	Motilimonas	Incertae sedis	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Oceanisphaera litoralis	B	1	3	0,5	10	Moderate	s	p	Romanenko et al. 2003	2003	Oceanisphaera	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Paramesonia marina	B	3	3	0,5	10	Moderate	s	p	Wang et al 2020	2020	Paramesonia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Polygonibacillus indicireducens	B	3	3	0	10	No Class	s	p	Hirota et al 2016	2016	Polygonibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Pontibaca methylaminivorans	B	2	3	0,5	10	Slight	s	p	Kim et al 2010	2010	Pontibaca	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Pseudooceanicola antarcticus	B	0,5	3	0,5	10	Moderate	s	p	Huo et al 2014 / Lai et al 2015	2014	Pseudooceanicola	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Psychrobacter jeotgali	B	2	3	0	10	Moderate	s	p	Yoon et al. 2003	2003	Psychrobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Qipengyuania aquimaris	B	2	3		10	Slight	s	p	Yoon et al. 2004 / Xu et al 2020	2004	Qipengyuania	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Qipengyuania nanhaisediminis	B	2	3		10	Slight	s	p	Xu et al 2010 / Xu et al 2020	2010	Qipengyuania	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Rhodovulum tesquicola	B	1	3	0,3	10	No Class	s	p	Kompantseva et al 2012	2012	Rhodovulum	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Roseovarius ramblicola	B	3	3	0,5	10	Moderate	s	p	Castro et al 2018	2018	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Salinimicrobium profundisediminis	B	2	3	0	10	No Class	s	p	An et al 2023	2023	Salinimicrobium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Salinimicrobium xinjiangense	B	2	3	0,5	10	Moderate	s	p	Lim et al 2008	2008	Salinimicrobium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Salinispirillum marinum	B	3	3	1	10	No Class	s	p	Shahinpei et al 2014	2014	Salinispirillum	Natronospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Spongiibacter taiwanensis	B	1	3	0,5	10	No Class	s	p	Jean et al 2016	2016	Spongiibacter	Spongiibacteraceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Myceligenerans cantabricum	B	0,5	3	0,5	10,5	Tolerant	s	p	Sarmiento-Vizcaíno et al 2015	2015	Myceligenerans	Promicromonosporaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Dethiosulfovibrio peptidovorans	B	3	3	0	11	Slight	s	p	Magot et al. 1997	1997	Dethiosulfovibrio	Dethiosulfovibrionaceae	Synergistales	Synergistia	Synergistota	Thermotogati
Gracilibacillus boraciitolerans	B	0,5	3	0	11	Tolerant	s	p	Ahmed et al 2007	2007	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Metabacillus litoralis	B	2	3		11	Slight	s	p	Yoon and Oh 2005 / Patel and Gupta 2020	2005	Metabacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Microbulbifer harenosus	B	2	3	2	11	No Class	s	p	Huang et al 2020	2020	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Nitrincola iocasae	B	1	3	1	11	Slight	s	p	Zhang et al 2020	2020	Nitrincola	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Oceanobacillus chironomi	B	1	3	0	11	Tolerant	s	p	Raats and Halpern 2007	2007	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Palleronia soli	B	3	3	1	11	Moderate	Sea salt	p	Kim et al 2015	2015	Palleronia	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Pseudidiomarina halophila	B	2	3	0,5	11	Slight	s	p	Lee et al 2015 / Liu et al 2019	2015	Pseudidiomarina	Idiomarinaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Algiphilus aromaticivorans	B	3	3	0	12	Slight	s	p	Gutierrez et al 2012	2012	Algiphilus	Algiphilaceae	Nevskiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alkalispirochaeta americana	B	3	3	2	12	No Class	s	p	Hoover et al 2003 / Sravanthi et al 2016	2003	Alkalispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetota	Pseudomonadati
Desulfonatronovibrio hydrogenovorans	B	3	3	1	12	Slight	s	p	Zhilina et al 1997	1997	Desulfonatronovibrio	Desulfohalobiaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Hwanghaeella grinnelliae	B	2	3	0	12	Moderate	s	p	Kim et al 2019	2019	Hwanghaeella	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Maridesulfovibrio salinus	B	3	3	1	12	Slight	s	p	Gam et al 2018 / Galushko and Kuever 2021	2018	Maridesulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Marinimicrobium koreense	B	1	3	0	12	Tolerant	s	p	Lim et al 2006	2006	Marinimicrobium	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Nesterenkonia aethiopica	B	3	3	3	12	Moderate	s	p	Delgado et al. 2006	2006	Nesterenkonia	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Oceanobacillus polygoni	B	3	3	3	12	No Class	s	p	Hirota et al 2013	2013	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Psychrobacter alimentarius	B	2	3	0	12	Moderate	s	p	Yoon et al. 2005	2005	Psychrobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Psychrobacter aquimaris 	B	2	3	0	12	Slight	s	p	Yoon et al. 2005	2005	Psychrobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Sinomicrobium weinanense	B	0	3	0	12	No Class	s	p	Wu et al 2022	2022	Sinomicrobium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Zunongwangia mangrovi	B	2	3	0,3	12	Slight	s	p	Raneshkumar et al 2014	2014	Zunongwangia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Marinobacter fuscus	B	3	3	0	12,5	No Class	s	p	Liu et al 2018	2018	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Nocardia halotolerans	B	0	3	0	12,5	Tolerant	s	p	Nikou et al 2015	2015	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacillati
Nosocomiicoccus ampullae	B	1	3	0	14	Moderate	s	p	Alves et al 2008	2008	Nosocomiicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Oceanobacillus profundus	B	1	3	0	14	Tolerant	s	p	Kim et al 2007	2007	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Psychroflexus planctonicus	B	3	3	0,5	14	Moderate	s	p	Zhong et al 2017	2017	Psychroflexus	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Psychroflexus salis	B	3	3	0,5	14	Moderate	s	p	Zhong et al 2016	2016	Psychroflexus	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Serinicoccus marinus	B	2	3	0	14	Moderate	s	p	Yi et al. 2004	2004	Serinicoccus	Ornithinimicrobiaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Alcanivorax jadensis	B	3	3	0,5	15	Moderate	s	p	Bruns and Berthe-Corti 1999 / Fernandés-Martinéz et al 2003	1999	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alcanivorax marinus	B	3	3	0,5	15	No Class	s	p	Lai et al 2013	2013	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Aliidiomarina iranensis	B	3	3	1	15	Slight	s	p	Amoozegar et al 2016	2016	Aliidiomarina	Idiomarinaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Bacillus salacetis	B	1	3	0	15	Slight	s	p	Daroonpunt et al 2019	2019	Bacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Georgenia halotolerans	B	0	3	0	15	Tolerant	s	p	Liu et al 2023	2023	Georgenia	Bogoriellaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Gracilibacillus alcaliphilus	B	3	3	0	15	No Class	s	p	Hirota et al 2014	2014	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Gracilibacillus ureilyticus	B	3	3	0	15	Tolerant	s	p	Huo et al 2010	2010	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas getboli	B	3	3	1	15	Tolerant	s	p	Yoo et al 2022	2022	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halotalea alkalilenta	B	0	3	0	15	Tolerant	s	p	Ntougias et al 2007	2007	Halotalea	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Jeotgalibacillus campisalis	B	2	3	0,5	15	Moderate	s	p	Yoon et al. 2004 / Yoon et al 2010	2004	Jeotgalibacillus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Marinobacter iranensis	B	3	3	0,5	15	Slight	s	p	Rafieyan et al 2023	2023	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter salexigens	B	3	3	0,5	15	Moderate	s	p	Han et al 2017	2017	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Microbulbifer zhoushanensis	B	3	3	1	15	Tolerant	s	p	Fu et al 2023	2023	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Planococcus halotolerans	B	3	3	0	15	Tolerant	s	p	Gan et al 2018	2018	Planococcus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Pseudoalteromonas issachenkonii	B	1	3	0,5	15	No Class	s	p	Ivanova et al. 2002	2002	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salipiger bermudensis	B	3	3	0,25	15	Slight	s	p	Cho et al. 2006 / Wirrth and Whitman 2018	2006	Salipiger	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Alcanivorax gelatiniphagus	B	1,5	3	0,5	16	No Class	s	p	Kwon et al 2015	2015	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alteribacter keqinensis	B	3	3	0	16	Moderate	s	p	Liu et al 2022	2022	Alteribacter	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Jeotgalicoccus aerolatus	B	2	3	0,1	16	Slight	s	p	Liu et al 2011 / Martin et al 2011	2011	Jeotgalicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Psychrobacter celer	B	2	3	0	16	Slight	s	p	Yoon et al 2005	2005	Psychrobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alkalibacterium subtropicum	B	1	3	0	17	Slight	s	p	Ishikawa et al 2011	2011	Alkalibacterium	Carnobacteriaceae	 Lactobacillales	Bacilli	Bacillota	Bacillati
Lacticigenium naphthae	B	3	3	0	17	Tolerant	s	p	Iino et al 2009	2009	Lacticigenium	Carnobacteriaceae	Lactobacillales	Bacilli	Bacillota	Bacillati
Paraliobacillus zengyii	B	3	3	0	17	Slight	s	p	Wang et al 2019	2019	Paraliobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Marinobacter mangrovi	B	2	3	0	18	Tolerant	s	p	Yi et al 2021	2021	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Pontibacillus salipaludis	B	2	3	1	19	Slight	s	p	Sultanpuram et al 2016	2016	Pontibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Psychrobacter namhaensis	B	2	3	0	19	Slight	s	p	Yoon et al. 2005	2005	Psychrobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas andesensis	B	1	3	0,5	20	Moderate	s	p	Guzmán et al 2010	2010	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas salifodinae	B	3	3	0,5	20	No Class	s	p	Wang et al 2008	2008	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halospirulina tapeticola	B	3	3	3	20	Tolerant	s	p	Nübel et al 2000	2000	Halospirulina	Spirulinaceae	Spirulinales	Cyanophyceae	Cyanobacteriota	Bacillati
Marinobacter halotolerans	B	3	3	0,5	20	Moderate	s	p	Kim et al 2017	2017	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Gracilibacillus kekensis	B	3	3	0	22	Moderate	s	p	Gao et al 2012	2012	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halolactibacillus halophilus	B	2	3	0	24	Slight	s	p	Ishikawa et al. 2005	2005	Halolactibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas sulfidaeris	B	2	3	0,5	24	No Class	Total salts	p	Kaye et al. 2004	2004	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Parvularcula bermudensis	B	3	3	0,75	25	Moderate	s	p	Cho anf Giovannoni 2003	2003	Parvularcula	Parvularculaceae	Parvularculales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Salinicoccus qingdaonensis	B	3	3	0	25	Moderate	s	p	Qu et al 2012	2012	Salinicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halolactibacillus miurensis	B	2,5	3	0	25,5	Slight	s	p	Ishikawa et al. 2005	2005	Halolactibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas neptunia	B	2	3	0,5	27	No Class	Total salts	p	Kaye et al. 2004	2004	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Aestuariibacter halophilus	B	2	3			No Class	Sea salts	p	Yi et al. 2004	2004	Aestuariibacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Arcobacter lekithochrous	B	3	3			No Class	Sea salts	p	Diéguez et al 2017	2017	Arcobacter	Arcobacteraceae	Campylobacterales	Epsilonproteobacteria	Pseudomonadota	Pseudomonadati
Kiloniella laminariae	B	3	3			Tolerant	s	p	Wiese et al 2009	2009	Kiloniella	Kiloniellaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Psychromonas hadalis	B	3	3			No Class	s	p	Nogi et al 2007	2007	Psychromonas	Psychromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Psychromonas kaikoae	B	3	3			No Class	s	p	Nogi et al 2002	2002	Psychromonas	Psychromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Qipengyuania gaetbuli	B	2	3			Slight	s	p	Yoon et al. 2005 / Xu et al 2020	2005	Qipengyuania	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Qipengyuania seohaensis	B	2	3			Slight	s	p	Yoon et al. 2005 / Xu et al 2020	2005	Qipengyuania	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Halosimplex rubrum	A	3,1	3,1	0,9	3,4	Extreme	s	m	Han and Cui 2014	2014	Halosimplex	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halogeometricum pallidum	A	3,1	3,1	1,3	4,3	Extreme	s	m	Savage et al 2008 / Qiu et al 2013	2008	Halogeometricum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloplanus vescus	A	3,1	3,1	2,6	4,3	Extreme	s	m	Cui et al 2010	2010	Haloplanus	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronorubrum aibiense	A	2,6	3,1	2	4,3	Extreme	s	m	Cui et al. 2006	2006	Natronorubrum	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloplanus salinarum	A	3,1	3,1	2,5	4,5	Extreme	s	m	Hwang et al 2017	2017	Haloplanus	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobacterium wangiae	A	3,1	3,1	1,4	4,8	Extreme	s	m	Wang et al 2023	2023	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halohasta salina	A	3,1	3,1	1,4	4,8	No Class	s	m	Cheng et al 2023	2023	Halohasta	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorussus litoreus	A	3,1	3,1	0,9	4,8	No Class	s	m	Han et al 2019	2019	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorussus marinus	A	3,1	3,1	0,9	4,8	No Class	s	m	Han and Cui 2022	2022	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halosimplex salinum	A	3,1	3,1	2,1	4,8	No Class	s	m	Yang et al 2021	2021	Halosimplex	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halosolutus amylolyticus	A	3,1	3,1	2	4,8	Extreme	s	m	Sun et al 2022	2022	Halosolutus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halosolutus gelatinilyticus	A	3,1	3,1	1,4	4,8	Extreme	s	m	Sun et al 2022	2022	Halosolutus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halosolutus halophilus	A	3,1	3,1	1,7	4,8	Extreme	s	m	Sun et al 2022	2022	Halosolutus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halostella limicola	A	3,1	3,1	1,7	4,8	No Class	s	m	Han et al 2019	2019	Halostella	Natronoarchaeaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema amylolyticum	A	3,1	3,1	1,4	4,8	Extreme	s	m	Bao et al 2022	2022	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronosalvus rutilus	A	3,1	3,1	0,9	4,8	No Class	s	m	Tan et al 2023	2023	Natronosalvus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salinibaculum litoreum	A	3,1	3,1	0,9	4,8	No Class	s	m	Han and Cui 2020	2020	Salinibaculum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salinigranum rubrum	A	3,1	3,1	1,4	4,8	Extreme	s	m	Cui and Zhang 2014	2014	Salinigranum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haladaptatus paucihalophilus	A	2,6	3,1	0,8	5,1	Extreme	s	m	Savage et al.2007	2007	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema limicola	A	3,1	3,1	1,7	5,1	Extreme	s	m	Cui et al. 2006 / de la Haba 2022	2006	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salinarchaeum chitinilyticum	A	2,6	3,1	1,5	5,1	No Class	s	m	Minegishi et al 2017	2017	Salinarchaeum	Natronoarchaeaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarcula amylolytica	A	2,9	3,2	2	5,1	Extreme	s	m	Yang et al. 2007	2007	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema hispanicum	A	3,4	3,4	2,2	4	Extreme	s	m	Romano et al 2007 / de la Haba et al 2022	2007	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobacterium zhouii	A	3,4	3,4	1,7	4,3	Extreme	s	m	Wang et al 2023	2023	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halovivax asiaticus	A	3,4	3,4	2,5	4,3	Extreme	s	m	Bowers e Wiegel 2011 / Castillo et al. 2006	2006	Halovivax	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronobacterium texcoconense	A	2,6	3,4	1,7	4,3	No Class	s	m	Ruiz-Romero et al 2013	2013	Natronobacterium	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
