Isolado	Conc	UFC1	UFC2	UFC3	diluicao	Replicata
D14.30.010-5	1,5	19	23	17	1,00E+02	2
D14.30.010-5	2	24	23	14	1,00E+02	2
D14.30.010-5	3	21	16	14	1,00E+02	2
D14.30.010-5	4	37	18	16	1,00E+02	2
D5.30.010-1	0	2	2	6	1,00E+06	2
D5.30.010-1	0,5	6	6	2	1,00E+06	2
D5.30.010-1	1	3	8	9	1,00E+04	2
D5.30.010-1	1,5	10	8	8	1,00E+03	2
D5.30.010-1	2	8	5	5	1,00E+03	2
D5.30.010-1	3	7	5	1	1,00E+03	2
D5.30.010-1	4	7	9	3	1,00E+03	2
D14.15.100-1	0	14	13	12	1,00E+05	2
D14.15.100-1	0,5	10	3	12	1,00E+05	2
D14.15.100-1	1	9	11	6	1,00E+04	2
D14.15.100-1	1,5	1	3	6	1,00E+04	2
D14.15.100-1	2	12	18	16	1,00E+03	2
D14.15.100-1	3	14	19	13	1,00E+03	2
D14.15.100-1	4	15	18	22	1,00E+03	2
D20.15.010-12	0	0	2	2	1,00E+06	2
D20.15.010-12	0,5	4	5	6	1,00E+06	2
D20.15.010-12	1	14	12	8	1,00E+05	2
D20.15.010-12	1,5	3	0	1	1,00E+01	2
D20.15.010-12	2	0	0	0	1,00E+00	2
D20.15.010-12	3	0	0	1	1,00E+00	2
D20.15.010-12	4	1	1	6	1,00E+00	2
D14.15.010-3	0	20	35	24	1,00E+04	2
D14.15.010-3	0,5	26	29	42	1,00E+04	2
D14.15.010-3	1	66	78	48	1,00E+03	2
D14.15.010-3	1,5	42	29	33	1,00E+02	2
D14.15.010-3	2	12	16	13	1,00E+02	2
D14.15.010-3	3	3	5	1	1,00E+02	2
D14.15.010-3	4	12	8	7	1,00E+02	2
D7.15.010-6	0	85	82	78	1,00E+05	2
D7.15.010-6	0,5	27	22	21	1,00E+06	2
D7.15.010-6	1	112	92	128	1,00E+05	2
D7.15.010-6	1,5	62	44	33	1,00E+03	2
D7.15.010-6	2	47	31	53	1,00E+03	2
D7.15.010-6	3	48	48	43	1,00E+03	2
D7.15.010-6	4	96	76	102	1,00E+02	2
D7.15.R2A-6	0	30	21	15	1,00E+06	2
D7.15.R2A-6	0,5	26	25	26	1,00E+06	2
D7.15.R2A-6	1	52	52	44	1,00E+05	2
D7.15.R2A-6	1,5	18	23	18	1,00E+04	2
D7.15.R2A-6	2	24	25	29	1,00E+04	2
D7.15.R2A-6	3	9	9	7	1,00E+03	2
D7.15.R2A-6	4	9	8	10	1,00E+02	2
D4.15.R2A-5	0	15	18	18	1,00E+06	2
D4.15.R2A-5	0,5	22	26	26	1,00E+06	2
D4.15.R2A-5	1	29	31	35	1,00E+05	2
D4.15.R2A-5	1,5	10	6	2	1,00E+05	2
D4.15.R2A-5	2	33	29	27	1,00E+04	2
D4.15.R2A-5	3	7	8	10	1,00E+01	2
D4.15.R2A-5	4	3	4	4	1,00E+02	2
D23.15.010-1	0	16	24	19	1,00E+05	2
D23.15.010-1	0,5	55	53	49	1,00E+05	2
D23.15.010-1	1	18	9	8	1,00E+05	2
D23.15.010-1	1,5	5	5	5	1,00E+03	2
D23.15.010-1	2	15	14	14	1,00E+02	2
D23.15.010-1	3	8	8	8	1,00E+02	2
D23.15.010-1	4	33	29	39	1,00E+01	2
D8.15.R2A-3	0	43	50	44	1,00E+06	2
D8.15.R2A-3	0,5	28	19	19	1,00E+06	2
D8.15.R2A-3	1	90	90	68	1,00E+04	2
D8.15.R2A-3	1,5	33	31	29	1,00E+02	2
D8.15.R2A-3	2	11	6	15	1,00E+01	2
D8.15.R2A-3	3	7	11	6	1,00E+02	2
D8.15.R2A-3	4	2	4	3	1,00E+03	2
E. coli MG1655	0	35	44	38	1,00E+06	2
E. coli MG1655	0,5	18	14	26	1,00E+06	2
E. coli MG1655	1	34	25	36	1,00E+05	2
E. coli MG1655	1,5	9	9	10	1,00E+02	2
E. coli MG1655	2	19	29		1,00E+01	2
E. coli MG1655	3	10	6	8	1,00E+01	2
E. coli MG1655	4	0	1	0	1,00E+01	2
D14.30.010-1	0	39	39	34	1,00E+05	3
D14.30.010-1	0,5	13	7	8	1,00E+06	3
D14.30.010-1	1	40	48	46	1,00E+05	3
D14.30.010-1	1,5	14	14	5	1,00E+03	3
D14.30.010-1	2	8	11	10	1,00E+03	3
D14.30.010-1	3	33	48	19	1,00E+02	3
D14.30.010-1	4	79	83	47	1,00E+02	3
D4.30.R2A-4	0	22	10	20	1,00E+06	3
D4.30.R2A-4	0,5	18	23	22	1,00E+06	3
D4.30.R2A-4	1	29	29	32	1,00E+05	3
D4.30.R2A-4	1,5	11	11	7	1,00E+04	3
D4.30.R2A-4	2	34	68	52	1,00E+03	3
D4.30.R2A-4	3	18	24	24	1,00E+02	3
D4.30.R2A-4	4	41	36	44	1,00E+01	3
D20.30.010-2	0	32	28	36	1,00E+05	3
D20.30.010-2	0,5	69	63	68	1,00E+05	3
D20.30.010-2	 	27	33	15	1,00E+05	3
D20.30.010-2	1,5	78	70	60	1,00E+02	3
D20.30.010-2	2	34	34	41	1,00E+02	3
D20.30.010-2	3	13	12	6	1,00E+03	3
D20.30.010-2	4	44	49	40	1,00E+02	3
